É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2023/05/31 13:19:27

,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy
îNåéì˙,ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœéºìx(Åì),ïΩãœéºìx(Åì),ïΩãœéºìx(Åì)
,,,,,,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
2008/5/1,26.3,8,1,17.8,8,1,51,8,1
2008/5/2,26.1,8,1,18.8,8,1,51,8,1
2008/5/3,22.9,8,1,14.2,8,1,71,8,1
2008/5/4,22.7,8,1,14.2,8,1,62,8,1
2008/5/5,16.1,8,1,13.6,8,1,75,8,1
2008/5/6,18.5,8,1,13.9,8,1,52,8,1
2008/5/7,19.3,8,1,13.6,8,1,55,8,1
2008/5/8,16.4,8,1,11.0,8,1,66,8,1
2008/5/9,9.0,8,1,7.1,8,1,69,8,1
2008/5/10,9.4,8,1,5.4,8,1,53,8,1
2008/5/11,11.9,8,1,7.5,8,1,59,8,1
2008/5/12,11.2,8,1,8.0,8,1,70,8,1
2008/5/13,15.6,8,1,9.9,8,1,59,8,1
2008/5/14,10.5,8,1,8.0,8,1,69,8,1
2008/5/15,14.2,8,1,10.7,8,1,82,8,1
2008/5/16,21.4,8,1,13.4,8,1,69,8,1
2008/5/17,20.4,8,1,13.2,8,1,72,8,1
2008/5/18,22.0,8,1,13.5,8,1,74,8,1
2008/5/19,14.8,8,1,13.2,8,1,82,8,1
2008/5/20,15.7,8,1,13.7,8,1,86,8,1
2008/5/21,18.3,8,1,14.4,8,1,68,8,1
2008/5/22,22.6,8,1,16.1,8,1,65,8,1
2008/5/23,14.7,8,1,11.6,8,1,84,8,1
2008/5/24,20.1,8,1,14.8,8,1,72,8,1
2008/5/25,17.3,8,1,15.9,8,1,80,8,1
2008/5/26,19.9,8,1,14.3,8,1,85,8,1
2008/5/27,13.6,8,1,10.6,8,1,79,8,1
2008/5/28,19.8,8,1,13.1,8,1,58,8,1
2008/5/29,18.0,8,1,12.5,8,1,65,8,1
2008/5/30,19.1,8,1,11.6,8,1,64,8,1
2008/5/31,12.0,8,1,9.2,8,1,70,8,1
2008/6/1,13.6,8,1,10.5,8,1,80,8,1
2008/6/2,18.8,8,1,13.7,8,1,70,8,1
2008/6/3,23.5,8,1,15.9,8,1,68,8,1
2008/6/4,24.9,8,1,18.0,8,1,67,8,1
2008/6/5,22.1,8,1,17.0,8,1,58,8,1
2008/6/6,16.7,8,1,15.1,8,1,86,8,1
2008/6/7,17.9,8,1,15.2,8,1,84,8,1
2008/6/8,24.1,8,1,18.2,8,1,71,8,1
2008/6/9,26.3,8,1,19.3,8,1,66,8,1
2008/6/10,26.6,8,1,19.8,8,1,64,8,1
2008/6/11,23.8,8,1,17.6,8,1,67,8,1
2008/6/12,23.4,8,1,17.3,8,1,48,8,1
2008/6/13,19.2,8,1,14.6,8,1,66,8,1
2008/6/14,17.1,8,1,13.9,8,1,75,8,1
2008/6/15,17.6,8,1,13.8,8,1,71,8,1
2008/6/16,17.3,8,1,14.3,8,1,85,8,1
2008/6/17,19.0,8,1,15.6,8,1,79,8,1
2008/6/18,21.9,8,1,16.9,8,1,74,8,1
2008/6/19,24.7,8,1,18.9,8,1,72,8,1
2008/6/20,21.7,8,1,18.2,8,1,82,8,1
2008/6/21,20.4,8,1,16.3,8,1,82,8,1
2008/6/22,24.4,8,1,18.9,8,1,70,8,1
2008/6/23,26.5,8,1,20.6,8,1,66,8,1
2008/6/24,26.8,8,1,21.3,8,1,61,8,1
2008/6/25,24.9,8,1,19.7,8,1,59,8,1
2008/6/26,22.6,8,1,16.8,8,1,72,8,1
2008/6/27,24.8,8,1,17.5,8,1,73,8,1
2008/6/28,24.5,8,1,19.4,8,1,70,8,1
2008/6/29,21.8,8,1,18.4,8,1,75,8,1
2008/6/30,23.1,8,1,17.5,8,1,78,8,1
2008/7/1,26.7,8,1,18.7,8,1,69,8,1
2008/7/2,28.5,8,1,20.7,8,1,67,8,1
2008/7/3,26.1,8,1,20.7,8,1,68,8,1
2008/7/4,26.6,8,1,21.3,8,1,77,8,1
2008/7/5,30.7,8,1,25.2,8,1,65,8,1
2008/7/6,31.4,8,1,26.2,8,1,63,8,1
2008/7/7,25.6,8,1,22.4,8,1,78,8,1
2008/7/8,25.0,8,1,21.9,8,1,73,8,1
2008/7/9,26.9,8,1,22.1,8,1,68,8,1
2008/7/10,27.1,8,1,21.7,8,1,72,8,1
2008/7/11,21.1,8,1,19.5,8,1,90,8,1
2008/7/12,23.1,8,1,19.4,8,1,85,8,1
2008/7/13,26.1,8,1,21.3,8,1,76,8,1
2008/7/14,25.9,8,1,21.6,8,1,77,8,1
2008/7/15,25.4,8,1,20.8,8,1,78,8,1
