ダウンロードした時刻：2023/05/31 13:52:17

,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島
年月日,最高気温(℃),最高気温(℃),最高気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均湿度(％),平均湿度(％),平均湿度(％)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2008/5/1,21.0,8,1,18.2,8,1,69,8,1
2008/5/2,23.0,8,1,19.2,8,1,64,8,1
2008/5/3,29.6,8,1,23.1,8,1,51,8,1
2008/5/4,28.5,8,1,21.8,8,1,62,8,1
2008/5/5,24.1,8,1,20.3,8,1,68,8,1
2008/5/6,23.5,8,1,18.1,8,1,41,8,1
2008/5/7,24.9,8,1,19.0,8,1,51,8,1
2008/5/8,26.9,8,1,20.5,8,1,49,8,1
2008/5/9,21.3,8,1,18.8,8,1,45,8,1
2008/5/10,15.6,8,1,12.2,8,1,83,8,1
2008/5/11,17.6,8,1,13.7,8,1,70,8,1
2008/5/12,21.1,8,1,15.8,8,1,61,8,1
2008/5/13,19.4,8,1,16.4,8,1,75,8,1
2008/5/14,22.8,8,1,17.7,8,1,55,8,1
2008/5/15,22.4,8,1,16.9,8,1,58,8,1
2008/5/16,24.0,8,1,18.6,8,1,64,8,1
2008/5/17,26.5,8,1,20.8,8,1,59,8,1
2008/5/18,24.9,8,1,20.2,8,1,61,8,1
2008/5/19,21.8,8,1,19.7,8,1,75,8,1
2008/5/20,23.7,8,1,19.7,8,1,56,8,1
2008/5/21,23.1,8,1,18.8,8,1,61,8,1
2008/5/22,25.4,8,1,20.8,8,1,68,8,1
2008/5/23,25.6,8,1,21.7,8,1,67,8,1
2008/5/24,21.4,8,1,19.5,8,1,85,8,1
2008/5/25,25.2,8,1,21.0,8,1,82,8,1
2008/5/26,27.8,8,1,22.9,8,1,67,8,1
2008/5/27,27.6,8,1,22.5,8,1,43,8,1
2008/5/28,25.9,8,1,20.7,8,1,66,8,1
2008/5/29,23.5,8,1,20.3,8,1,78,8,1
2008/5/30,26.0,8,1,22.1,8,1,65,8,1
2008/5/31,21.5,8,1,19.4,8,1,81,8,1
2008/6/1,25.1,8,1,20.9,8,1,69,8,1
2008/6/2,21.2,8,1,18.5,8,1,79,8,1
2008/6/3,21.1,8,1,17.9,8,1,82,8,1
2008/6/4,26.1,8,1,21.2,8,1,73,8,1
2008/6/5,19.8,8,1,18.4,8,1,88,8,1
2008/6/6,26.9,8,1,21.5,8,1,68,8,1
2008/6/7,23.6,8,1,21.1,8,1,74,8,1
2008/6/8,25.7,8,1,22.1,8,1,76,8,1
2008/6/9,26.9,8,1,23.1,8,1,70,8,1
2008/6/10,26.9,8,1,23.0,8,1,73,8,1
2008/6/11,25.4,8,1,21.9,8,1,79,8,1
2008/6/12,27.1,8,1,22.2,8,1,61,8,1
2008/6/13,27.6,8,1,22.7,8,1,55,8,1
2008/6/14,28.5,8,1,23.8,8,1,50,8,1
2008/6/15,20.7,8,1,19.0,8,1,76,8,1
2008/6/16,25.7,8,1,21.7,8,1,75,8,1
2008/6/17,27.7,8,1,23.1,8,1,74,8,1
2008/6/18,27.9,8,1,23.9,8,1,72,8,1
2008/6/19,29.6,8,1,24.9,8,1,78,8,1
2008/6/20,26.4,8,1,24.0,8,1,88,8,1
2008/6/21,28.0,8,1,24.0,8,1,85,8,1
2008/6/22,28.1,8,1,24.1,8,1,83,8,1
2008/6/23,27.1,8,1,23.6,8,1,60,8,1
2008/6/24,26.1,8,1,22.7,8,1,74,8,1
2008/6/25,25.6,8,1,23.3,8,1,77,8,1
2008/6/26,25.9,8,1,23.5,8,1,67,8,1
2008/6/27,27.3,8,1,23.7,8,1,68,8,1
2008/6/28,26.2,8,1,24.1,8,1,77,8,1
2008/6/29,32.3,8,1,26.3,8,1,78,8,1
2008/6/30,28.6,8,1,25.1,8,1,59,8,1
2008/7/1,26.5,8,1,23.2,8,1,69,8,1
