ダウンロードした時刻：2023/05/31 13:21:40

,山形,山形,山形,山形,山形,山形,山形,山形,山形
年月日,最高気温(℃),最高気温(℃),最高気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均湿度(％),平均湿度(％),平均湿度(％)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2008/5/1,28.1,8,1,19.6,8,1,53,8,1
2008/5/2,27.0,8,1,19.4,8,1,59,8,1
2008/5/3,28.1,8,1,20.2,8,1,61,8,1
2008/5/4,27.8,8,1,19.6,8,1,65,8,1
2008/5/5,21.7,8,1,17.5,8,1,72,8,1
2008/5/6,21.5,8,1,15.8,8,1,37,8,1
2008/5/7,24.2,8,1,18.8,8,1,34,8,1
2008/5/8,16.1,8,1,13.1,8,1,59,8,1
2008/5/9,20.4,8,1,13.4,8,1,57,8,1
2008/5/10,16.6,8,1,11.0,8,1,63,8,1
2008/5/11,17.5,8,1,11.4,8,1,63,8,1
2008/5/12,17.1,8,1,10.4,8,1,58,8,1
2008/5/13,14.4,8,1,11.0,8,1,65,8,1
2008/5/14,19.5,8,1,12.5,8,1,71,8,1
2008/5/15,19.9,8,1,14.1,8,1,57,8,1
2008/5/16,23.8,8,1,14.9,8,1,57,8,1
2008/5/17,21.8,8,1,15.8,8,1,63,8,1
2008/5/18,23.1,8,1,15.5,8,1,60,8,1
2008/5/19,24.5,8,1,18.6,8,1,58,8,1
2008/5/20,20.5,8,1,16.1,8,1,71,8,1
2008/5/21,22.9,8,1,16.7,8,1,52,8,1
2008/5/22,27.5,8,1,18.5,8,1,53,8,1
2008/5/23,28.2,8,1,20.1,8,1,56,8,1
2008/5/24,24.3,8,1,19.6,8,1,68,8,1
2008/5/25,22.9,8,1,17.9,8,1,79,8,1
2008/5/26,25.1,8,1,18.6,8,1,67,8,1
2008/5/27,21.1,8,1,16.8,8,1,56,8,1
2008/5/28,22.2,8,1,14.9,8,1,67,8,1
2008/5/29,14.7,8,1,12.5,8,1,80,8,1
2008/5/30,16.1,8,1,12.4,8,1,69,8,1
2008/5/31,13.5,8,1,11.9,8,1,83,8,1
2008/6/1,23.6,8,1,16.2,8,1,67,8,1
2008/6/2,23.9,8,1,16.7,8,1,68,8,1
2008/6/3,19.0,8,1,16.2,8,1,74,8,1
2008/6/4,22.8,8,1,17.1,8,1,74,8,1
2008/6/5,23.9,8,1,18.0,8,1,75,8,1
2008/6/6,23.9,8,1,18.9,8,1,73,8,1
2008/6/7,25.0,8,1,19.2,8,1,68,8,1
2008/6/8,28.2,8,1,21.1,8,1,63,8,1
2008/6/9,28.2,8,1,21.3,8,1,64,8,1
2008/6/10,29.2,8,1,21.9,8,1,56,8,1
2008/6/11,27.9,8,1,20.7,8,1,59,8,1
2008/6/12,25.5,8,1,19.3,8,1,50,8,1
2008/6/13,27.5,8,1,20.5,8,1,46,8,1
2008/6/14,20.7,8,1,16.6,8,1,61,8,1
2008/6/15,22.8,8,1,16.5,8,1,64,8,1
2008/6/16,22.6,8,1,16.7,8,1,69,8,1
2008/6/17,25.9,8,1,18.6,8,1,61,8,1
2008/6/18,30.2,8,1,21.4,8,1,56,8,1
2008/6/19,27.7,8,1,21.7,8,1,69,8,1
2008/6/20,32.4,8,1,24.9,8,1,67,8,1
2008/6/21,31.6,8,1,24.7,8,1,71,8,1
2008/6/22,26.9,8,1,22.3,8,1,73,8,1
2008/6/23,22.0,8,1,20.1,8,1,76,8,1
2008/6/24,22.7,8,1,19.7,8,1,74,8,1
2008/6/25,25.1,8,1,20.8,8,1,68,8,1
2008/6/26,26.1,8,1,20.5,8,1,70,8,1
2008/6/27,26.6,8,1,21.4,8,1,67,8,1
2008/6/28,30.1,8,1,23.0,8,1,66,8,1
2008/6/29,22.3,8,1,19.9,8,1,85,8,1
2008/6/30,28.6,8,1,21.7,8,1,66,8,1
2008/7/1,26.6,8,1,20.4,8,1,65,8,1
