pref,平均気温_夏,年間収入,実収入,光熱水道費割合,ルームエアコン所有数量,ジニ係数,生活保護被保護実人員,一般病院の１日平均在院患者数,緑地割合,都市公園数,第１次産業就業者比率,第２次産業就業者比率,単独世帯の割合,６５歳以上世帯員の単独世帯の割合
北海道,19.52,"4,488",555.6,9.9,344,0.276,29.78,"1,118.50",0.000392841,33.79,6.7,16.5,40.49,14.65
青森県,20.2,"4,952",581.2,11.4,"1,044",0.292,23.35,799.6,0.000140095,26.99,11.1,19.6,33.14,14.08
岩手県,20.61,"5,282",590.4,9.9,"1,183",0.259,10.61,751.6,6.35E-05,36.09,9.6,24.3,33.27,12.72
宮城県,21.49,"5,702",523.5,8.1,"1,686",0.284,12.79,621.2,0.001473396,99.06,4.1,21.9,36.94,9.92
秋田県,21.75,"5,274",534.8,10.7,"1,706",0.271,14.3,857.8,0.000167776,18.65,8.6,23.6,30.55,14.45
山形県,21.78,"5,856",605.2,9.2,"2,471",0.288,7.41,766.5,0.000355396,29.93,8.6,28.1,28.43,10.95
福島県,22.27,"5,397",618.4,8.9,"1,717",0.278,9.4,695.3,0.000119826,28.65,6.2,28.8,33.15,11.78
茨城県,22.42,"5,956",649.2,7.6,"2,918",0.265,9.82,662.5,0.000420879,55.39,5.1,27.9,32.65,10.63
栃木県,22.56,"5,828",628.7,7.4,"2,975",0.303,10.4,694.4,0.000405924,75.31,5.2,30.4,32.91,10.73
群馬県,23.47,"5,595",648,6.5,"2,853",0.289,7.69,792.7,0.000341686,65.31,4.5,30.3,32.38,11.7
埼玉県,23.65,"5,886",731.5,7.2,"3,073",0.272,13.22,543.5,0.002780014,209.1,1.5,22.2,33.95,10.54
千葉県,23.88,"5,952",678.5,6.8,"2,810",0.281,13.91,598.8,0.001569966,210.05,2.4,18.4,36.26,10.84
東京都,23.6,"6,211",749.1,6.2,"2,820",0.303,20.12,602,0.005561815,586.74,0.4,14.6,50.24,11.24
神奈川県,23.71,"6,220",615.5,6.6,"2,746",0.267,16.59,511.6,0.0018733,519.8,0.8,19.5,39.21,10.92
